"filename", "language", "Kotlinscript", "XML", "Kotlin", "comment", "blank", "total"
"c:\Users\Hi\Coder\MovieApp\app\build.gradle.kts", "Kotlinscript", 1, 0, 0, 0, 0, 1
"c:\Users\Hi\Coder\MovieApp\app\src\main\AndroidManifest.xml", "XML", 0, 16, 0, 0, 2, 18
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\NotificationActivity.kt", "Kotlin", 0, 0, 63, 0, 8, 71
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\PackagePaymentActivity.kt", "Kotlin", 0, 0, 79, 1, 12, 92
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\WatchMovieActivity.kt", "Kotlin", 0, 0, 68, 15, 1, 84
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Adapters\MovieWatchingAdapter.kt", "Kotlin", 0, 0, 45, 0, 9, 54
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Adapters\NotificationAdapter.kt", "Kotlin", 0, 0, 39, 0, 9, 48
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\MovieWatching.kt", "Kotlin", 0, 0, 9, 0, 2, 11
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\Notification.kt", "Kotlin", 0, 0, 11, 0, 3, 14
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\HomeFragment.kt", "Kotlin", 0, 0, 208, -16, 19, 211
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\PaymentFragment.kt", "Kotlin", 0, 0, 3, -1, -1, 1
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\ResultFragment.kt", "Kotlin", 0, 0, 16, 0, 2, 18
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\MyFirebaseMessagingService.kt", "Kotlin", 0, 0, 30, 0, 7, 37
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\ic_payment.xml", "XML", 0, 9, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\notification.xml", "XML", 0, 9, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\red_circle.xml", "XML", 0, 4, 0, 0, 0, 4
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_notification.xml", "XML", 0, 49, 0, 0, 5, 54
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_package_payment.xml", "XML", 0, 45, 0, 0, 6, 51
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\fragment_home.xml", "XML", 0, 56, 0, 0, 8, 64
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\fragment_profile.xml", "XML", 0, 19, 0, 0, 3, 22
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\fragment_result.xml", "XML", 0, 17, 0, 0, 1, 18
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\item_movie_watching.xml", "XML", 0, 44, 0, 0, 5, 49
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\item_notification.xml", "XML", 0, 63, 0, 0, 8, 71
"Total", "-", 1, 331, 571, -1, 111, 1013
