"filename", "language", "XML", "Kotlin", "comment", "blank", "total"
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\HomeFragment.kt", "Kotlin", 0, 2, 2, 0, 4
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\MovieTabLayoutFragment.kt", "Kotlin", 0, 153, 0, 22, 175
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\fragment_category.xml", "XML", -1, 0, 0, 0, -1
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\values\arrays.xml", "XML", 2, 0, 0, 0, 2
"Total", "-", 1, 155, 2, 22, 180
