"filename", "language", "XML", "Kotlin", "comment", "blank", "total"
"c:\Users\Hi\Coder\MovieApp\app\src\main\AndroidManifest.xml", "XML", 3, 0, 0, 0, 3
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\RatingMovieListActivity.kt", "Kotlin", 0, 141, 1, 15, 157
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\SavedMovieListActivity.kt", "Kotlin", 0, 4, 0, 0, 4
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Adapters\FragmentMovieAdapter.kt", "Kotlin", 0, 12, 0, 5, 17
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Adapters\MovieSearchAdapter.kt", "Kotlin", 0, 6, 0, 0, 6
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\CategoryFragment.kt", "Kotlin", 0, 46, 3, 10, 59
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\CommentFragment.kt", "Kotlin", 0, 2, 0, 0, 2
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\MovieTabLayoutFragment.kt", "Kotlin", 0, 79, 7, 20, 106
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\ProfileFragment.kt", "Kotlin", 0, 5, 0, 0, 5
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_movie_list.xml", "XML", 44, 0, 2, 6, 52
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_saved_movie_list.xml", "XML", -42, 0, -2, -7, -51
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\fragment_category.xml", "XML", -22, 0, 0, -8, -30
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\fragment_profile.xml", "XML", 1, 0, 0, 1, 2
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\fragment_tablayout_movie.xml", "XML", 149, 0, 0, 23, 172
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\item_movie_search.xml", "XML", -1, 0, 0, 0, -1
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\spinner_dropdown_item.xml", "XML", 9, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\spinner_item.xml", "XML", 9, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\values\arrays.xml", "XML", 37, 0, 0, 4, 41
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\values\colors.xml", "XML", 2, 0, 0, 0, 2
"Total", "-", 189, 295, 11, 71, 566
