"filename", "language", "XML", "Kotlin", "comment", "blank", "total"
"c:\Users\Hi\Coder\MovieApp\.idea\appInsightsSettings.xml", "XML", 14, 0, 0, 0, 14
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\BuyMovieActivity.kt", "Kotlin", 0, 4, 0, 2, 6
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\LoginActivity.kt", "Kotlin", 0, 24, 0, 0, 24
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\MainActivity.kt", "Kotlin", 0, 8, 0, 1, 9
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\MovieDetailActivity.kt", "Kotlin", 0, 74, 0, 3, 77
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\NotificationActivity.kt", "Kotlin", 0, 18, 0, 1, 19
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\PackagePaymentActivity.kt", "Kotlin", 0, 11, 0, 2, 13
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\RatingMovieListActivity.kt", "Kotlin", 0, 19, 0, 0, 19
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\SavedMovieListActivity.kt", "Kotlin", 0, 19, 0, 0, 19
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\SearchActivity.kt", "Kotlin", 0, 31, 0, 2, 33
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\SplashActivity.kt", "Kotlin", 0, 3, 0, 0, 3
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\WatchMovieActivity.kt", "Kotlin", 0, 143, 2, 5, 150
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Adapters\CommentAdapter.kt", "Kotlin", 0, 25, 1, 0, 26
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Adapters\MovieAdapter.kt", "Kotlin", 0, 2, 0, -1, 1
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Adapters\MovieSearchAdapter.kt", "Kotlin", 0, 2, 0, 0, 2
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Adapters\ReplyAdapter.kt", "Kotlin", 0, -1, 0, 0, -1
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\AppSessionViewModel.kt", "Kotlin", 0, 32, 0, 2, 34
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\ItemMovie.kt", "Kotlin", 0, 1, 0, 0, 1
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\Movie.kt", "Kotlin", 0, 2, 0, 0, 2
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\MovieWatching.kt", "Kotlin", 0, 1, 0, 0, 1
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\CommentFragment.kt", "Kotlin", 0, 29, 1, 2, 32
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\HomeFragment.kt", "Kotlin", 0, 144, -8, -3, 133
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\PaymentFragment.kt", "Kotlin", 0, 1, 0, 0, 1
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\RatingFragment.kt", "Kotlin", 0, 28, 1, 3, 32
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\ResultFragment.kt", "Kotlin", 0, 13, 0, 2, 15
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\SessionManager.kt", "Kotlin", 0, 2, 0, 2, 4
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\ic_help.xml", "XML", 9, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\ic_vip.xml", "XML", 9, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_intro.xml", "XML", 0, 0, 0, -3, -3
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_login.xml", "XML", 44, 0, 3, 8, 55
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_movie_detail.xml", "XML", 24, 0, 0, 4, 28
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_movie_list.xml", "XML", 22, 0, 0, 1, 23
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_notification.xml", "XML", 12, 0, 0, 0, 12
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_package_payment.xml", "XML", 3, 0, 4, 0, 7
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_watch_movie.xml", "XML", 11, 0, 0, 1, 12
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\fragment_dowload.xml", "XML", 10, 0, 0, 1, 11
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\fragment_home.xml", "XML", 19, 0, 0, 2, 21
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\fragment_result.xml", "XML", 16, 0, 0, 2, 18
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\item_movie.xml", "XML", 34, 0, -1, 4, 37
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\item_movie_search.xml", "XML", 31, 0, 0, 6, 37
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\item_reply.xml", "XML", -15, 0, 0, -2, -17
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\xml\backup_rules.xml", "XML", 6, 0, -6, 0, 0
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\xml\data_extraction_rules.xml", "XML", 4, 0, -4, 0, 0
"Total", "-", 253, 635, -7, 49, 930
