"filename", "language", "Kotlinscript", "Markdown", "Properties", "Batch", "XML", "Kotlin", "comment", "blank", "total"
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\fragment_home.xml", "XML", 0, 0, 0, 0, 156, 0, 0, 20, 176
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\fragment_profile.xml", "XML", 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\item_banner.xml", "XML", 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\item_image.xml", "XML", 0, 0, 0, 0, -12, 0, 0, 0, -12
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\item_movie.xml", "XML", 0, 0, 0, 0, 21, 0, 0, 3, 24
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\menu\bottom_menu.xml", "XML", 0, 0, 0, 0, 19, 0, 0, 1, 20
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\Hi\Coder\MovieApp\build.gradle.kts", "Kotlinscript", 4, 0, 0, 0, 0, 0, 1, 0, 5
"c:\Users\Hi\Coder\MovieApp\gradle.properties", "Properties", 0, 0, 4, 0, 0, 0, 19, 0, 23
"c:\Users\Hi\Coder\MovieApp\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 5, 0, 0, 0, 1, 1, 7
"c:\Users\Hi\Coder\MovieApp\gradlew.bat", "Batch", 0, 0, 0, 39, 0, 0, 29, 22, 90
"c:\Users\Hi\Coder\MovieApp\settings.gradle.kts", "Kotlinscript", 22, 0, 0, 0, 0, 0, 0, 2, 24
"Total", "-", 53, 1, 9, 39, 509, 310, 79, 132, 1132
