"filename", "language", "Kotlinscript", "XML", "Kotlin", "comment", "blank", "total"
"c:\Users\Hi\Coder\MovieApp\app\build.gradle.kts", "Kotlinscript", 4, 0, 0, 0, 3, 7
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\WatchMovieActivity.kt", "Kotlin", 0, 0, 72, 5, 7, 84
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Adapters\DownloadedVideoAdapter.kt", "Kotlin", 0, 0, 2, 0, 0, 2
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\DownloadedVideoDao.kt", "Kotlin", 0, 0, 2, 0, 1, 3
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\DowloadFragment.kt", "Kotlin", 0, 0, 5, -5, 0, 0
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\item_downloaded_video.xml", "XML", 0, 0, 0, 0, 1, 1
"Total", "-", 4, 0, 81, 0, 12, 97
