"filename", "language", "XML", "Kotlin", "comment", "blank", "total"
"c:\Users\Hi\Coder\MovieApp\app\src\main\AndroidManifest.xml", "XML", 3, 0, 0, 0, 3
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\MovieDetailActivity.kt", "Kotlin", 0, 50, 2, 5, 57
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\PersonActivity.kt", "Kotlin", 0, 154, 2, 14, 170
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\SearchActivity.kt", "Kotlin", 0, 47, -9, 1, 39
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\WatchMovieActivity.kt", "Kotlin", 0, 3, 0, 1, 4
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Adapters\MovieSearchAdapter.kt", "Kotlin", 0, 0, 0, 1, 1
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Adapters\PersonAdapter.kt", "Kotlin", 0, 3, 0, 0, 3
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\Actor.kt", "Kotlin", 0, 1, 0, 0, 1
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\Director.kt", "Kotlin", 0, 1, 0, 0, 1
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\ItemPerson.kt", "Kotlin", 0, 7, 0, 3, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\Movie.kt", "Kotlin", 0, 1, 0, 1, 2
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\Person.kt", "Kotlin", 0, 7, 0, -1, 6
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_movie_detail.xml", "XML", 0, 0, 0, -1, -1
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_person.xml", "XML", 102, 0, 5, 13, 120
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_search.xml", "XML", 27, 0, 1, 2, 30
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\item_movie_search.xml", "XML", 15, 0, 0, 0, 15
"Total", "-", 147, 274, 1, 39, 461
