"filename", "language", "XML", "Kotlin", "comment", "blank", "total"
"c:\Users\Hi\Coder\MovieApp\app\src\main\AndroidManifest.xml", "XML", 4, 0, 0, 0, 4
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\PersonActivity.kt", "Kotlin", 0, 6, 0, 0, 6
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\WatchMovieActivity.kt", "Kotlin", 0, 43, -51, 2, -6
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\WatchMovieDowloadActivity.kt", "Kotlin", 0, 144, 10, 25, 179
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Adapters\DownloadedVideoAdapter.kt", "Kotlin", 0, 10, 0, 0, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\DownloadedVideo.kt", "Kotlin", 0, -1, 0, 0, -1
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\DownloadedVideoDao.kt", "Kotlin", 0, 2, 0, 2, 4
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\DowloadFragment.kt", "Kotlin", 0, 12, 0, 3, 15
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_person.xml", "XML", 1, 0, 0, 0, 1
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_watch_movie_dowload.xml", "XML", 76, 0, 0, 8, 84
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\item_downloaded_video.xml", "XML", 31, 0, 0, 6, 37
"Total", "-", 112, 216, -41, 46, 333
