"filename", "language", "Kotlinscript", "Markdown", "Properties", "Batch", "JSON", "XML", "Kotlin", "comment", "blank", "total"
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Adapters\PackageAdapter.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 28, 0, 8, 36
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Adapters\PackagePagerAdapter.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 17, 0, 3, 20
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Adapters\PersonAdapter.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 31, 0, 7, 38
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Adapters\ReplyAdapter.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 45, 1, 9, 55
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\AppDatabase.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 22, 0, 5, 27
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\AppSessionViewModel.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 11, 0, 3, 14
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\Actor.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 10, 0, 3, 13
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\Comment.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 11, 0, 3, 14
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\Director.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 9, 0, 3, 12
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\DownloadedVideo.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 11, 0, 4, 15
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\Episode.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 5, 0, 2, 7
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\ItemMovie.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 9, 0, 2, 11
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\ItemPerson.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 7, 0, 3, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\Movie.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 21, 0, 3, 24
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\PackagePayment.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 7, 0, 2, 9
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\Person.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 13, 0, 2, 15
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\Rating.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 5, 0, 2, 7
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\Reply.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 11, 0, 3, 14
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\WatchLaterMovie.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 6, 0, 2, 8
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\DownloadedVideoDao.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 16, 0, 8, 24
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\CategoryFragment.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 50, 3, 12, 65
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\CommentFragment.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 254, 8, 23, 285
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\DowloadFragment.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 71, 0, 12, 83
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\HomeFragment.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 190, 43, 38, 271
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\MovieTabLayoutFragment.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 288, 7, 47, 342
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\PaymentFragment.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 116, 1, 23, 140
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\ProfileFragment.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 43, 0, 11, 54
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\RatingFragment.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 203, 3, 25, 231
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\ResultFragment.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 24, 0, 5, 29
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\SelectPackageFragment.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 44, 0, 5, 49
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\SessionManager.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 39, 6, 9, 54
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\ui\theme\Color.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 8, 0, 3, 11
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\ui\theme\Theme.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 41, 10, 7, 58
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\ui\theme\Type.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 15, 17, 2, 34
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\anim\slide_in_right.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\anim\slide_out_left.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\color\selector_bottom_nav.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
