"filename", "language", "XML", "Kotlin", "comment", "blank", "total"
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\SavedMovieListActivity.kt", "Kotlin", 0, 3, 0, 1, 4
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\WatchMovieActivity.kt", "Kotlin", 0, 44, 5, 5, 54
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Adapters\CommentAdapter.kt", "Kotlin", 0, 194, 6, 18, 218
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Adapters\ReplyAdapter.kt", "Kotlin", 0, 45, 1, 9, 55
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\AppViewModel.kt", "Kotlin", 0, -45, -12, -10, -67
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\Comment.kt", "Kotlin", 0, 11, 0, 3, 14
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\Reply.kt", "Kotlin", 0, 11, 0, 3, 14
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\CommentFragment.kt", "Kotlin", 0, 252, 8, 23, 283
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\SharedViewModel.kt", "Kotlin", 0, 16, 0, 5, 21
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\favorite_red.xml", "XML", 9, 0, 0, 0, 9
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\send.xml", "XML", 9, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_saved_movie_list.xml", "XML", 3, 0, 0, 1, 4
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_watch_movie.xml", "XML", 51, 0, 0, 6, 57
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\fragment_category.xml", "XML", 72, 0, 0, 16, 88
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\fragment_comment.xml", "XML", 48, 0, 0, 9, 57
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\fragment_profile.xml", "XML", 28, 0, 2, -1, 29
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\item_comment.xml", "XML", 64, 0, 0, 6, 70
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\item_reply.xml", "XML", 79, 0, 0, 13, 92
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\values\colors.xml", "XML", 1, 0, 0, 0, 1
"Total", "-", 364, 531, 10, 108, 1013
